Street,City,Zip Code,Bed,Bath,Sqft,House Type,Year Built,Sold Price
45 Huested Street, Pleasanton,94566,4.0,3.5,2066.0,Single Family Residence,2019,1015000.0
6703 Paseo Catalina, Pleasanton,94566,4.0,3.0,2293.0,Single Family Residence,1988,1210000.0
5492 Greenfield Way, Pleasanton,94566,4.0,2.0,1882.0,Single Family Residence,1966,1190000.0
1361 Via Di Salerno, Pleasanton,94566,5.0,5.5,6516.0,Single Family Residence,2001,3330000.0
38232 Luma Ter,Newark,94560,4.0,3.5,2115.0,Single Family Residence,2015,1040000.0
5451 Alamo Ter,Fremont,94555,3.0,2.5,1324.0,Single Family Residence,1988,1070001.0
38774 Stillwater Cmn,Fremont,94536,2.0,2.0,1001.0,Single Family Residence,1987,768350.0
39649 Whitecap Way,Fremont,94538,4.0,2.0,1760.0,Single Family Residence,1962,1152000.0
3857 Scamman Ct,Fremont,94538,4.0,2.0,1680.0,Single Family Residence,1954,1299000.0
34254 Stable Way,Fremont,94555,4.0,3.5,2651.0,Single Family Residence,2017,1625000.0
39648 Royal Palm Dr,Fremont,94538,3.0,2.0,1067.0,Single Family Residence,1961,760000.0
5427 Alamo Ter,Fremont,94555,4.0,2.5,1762.0,Single Family Residence,1988,1200000.0
37697 3Rd St,Fremont,94536,3.0,1.0,1152.0,Single Family Residence,1918,695600.0
3124 Bruce Dr,Fremont,94539,3.0,2.0,1294.0,Single Family Residence,1958,1200051.0
3223 Grand Lake Dr,Fremont,94555,3.0,2.0,1346.0,Single Family Residence,1975,1085000.0
4308 Bidwell Dr,Fremont,94538,5.0,2.0,1722.0,Single Family Residence,1962,942000.0
39390 Sutter Dr,Fremont,94538,3.0,2.0,1344.0,Single Family Residence,1959,975000.0
4114 Vincente St,Fremont,94536,4.0,2.0,1387.0,Single Family Residence,1967,848750.0
34325 Sandburg Dr,Union City,94587,5.0,3.5,2320.0,Single Family Residence,2000,1077000.0
39247 Sundale Dr,Fremont,94538,4.0,2.25,2253.0,Single Family Residence,1964,1068000.0
33148 Lake Superior Pl,Fremont,94555,2.0,1.5,880.0,Single Family Residence,1969,779000.0
32541 Salton Sea Ln,Fremont,94555,4.0,2.0,1476.0,Single Family Residence,1973,1000000.0
4699 Rousillon Ave,Fremont,94555,4.0,2.5,1600.0,Single Family Residence,1989,1058000.0
4812 Driftwood Dr,Fremont,94536,4.0,2.0,1444.0,Single Family Residence,1954,820000.0
36217 Magellan Dr,Fremont,94536,4.0,2.0,1574.0,Single Family Residence,1954,920000.0
36128 Pizarro Dr,Fremont,94536,3.0,2.0,1168.0,Single Family Residence,1955,860000.0
5292 Paxton Ct,Fremont,94536,3.0,2.5,1656.0,Single Family Residence,1959,925000.0
3238 Canterbury Ct,Fremont,94536,3.0,2.0,1662.0,Single Family Residence,1963,1099000.0
1160 Bennett Ct,Fremont,94536,4.0,2.0,1574.0,Single Family Residence,1977,1150000.0
900 Pepys Way,Fremont,94536,3.0,2.5,1384.0,Single Family Residence,1995,1050000.0
30 Lima Ter,Fremont,94539,4.0,2.5,2291.0,Single Family Residence,1985,1675000.0
41844 Sherwood St,Fremont,94538,4.0,3.0,1838.0,Single Family Residence,1961,1125000.0
42728 Mayfair Park Ave,Fremont,94538,4.0,2.0,1684.0,Single Family Residence,1964,1265000.0
5419 Borgia Rd,Fremont,94538,3.0,2.0,1549.0,Single Family Residence,1961,870000.0
37139 Edith St,Newark,94560,3.0,1.0,1006.0,Single Family Residence,1958,752000.0
40751 creston,Fremont,94538,4.0,2.0,1556.0,Single Family Residence,1961,1085000.0
40571 Creston St,Fremont,94538,4.0,2.0,1556.0,Single Family Residence,1961,1085000.0
367 Staircase Falls Cmns,Fremont,94539,3.0,3.5,2029.0,Single Family Residence,2019,1192680.0
4330 Gibraltar Dr,Fremont,94536,4.0,3.0,2580.0,Single Family Residence,1965,1375000.0
40767 Ondina Pl,Fremont,94539,4.0,3.0,2588.0,Single Family Residence,1994,1990000.0
37645 Farwell Dr,Fremont,94536,5.0,3.0,1902.0,Single Family Residence,1956,1080000.0
4147 Corrigan Dr,Fremont,94536,4.0,3.0,1885.0,Single Family Residence,1959,1290000.0
5405 Farina Ln,Fremont,94538,3.0,2.0,1302.0,Single Family Residence,1961,1015000.0
41720 Higgins Way,Fremont,94539,4.0,2.0,1672.0,Single Family Residence,1960,1518000.0
2622 Central Ct,Union City,94587,3.0,2.0,1382.0,Single Family Residence,1975,785000.0
4510 Alameda Dr,Fremont,94536,3.0,2.0,1347.0,Single Family Residence,1962,1010000.0
4292 Eggers Dr,Fremont,94536,3.0,2.0,2008.0,Single Family Residence,1958,1170000.0
2649 Barrington Ter,Fremont,94536,2.0,2.5,1376.0,Single Family Residence,1988,953998.0
47527 Tokopah Falls Ter,Fremont,94539,3.0,3.5,2172.0,Single Family Residence,2019,1316835.0
53 Verde Way,Fremont,94539,4.0,4.0,3020.0,Single Family Residence,2010,2000000.0
3864 Shovler Lake Ct,Fremont,94555,3.0,2.5,1439.0,Single Family Residence,1978,960000.0
4453 Porter St,Fremont,94538,3.0,1.0,950.0,Single Family Residence,1955,775000.0
4233 Crestwood St,Fremont,94538,3.0,2.0,1080.0,Single Family Residence,1958,1000000.0
36352 Pizarro Dr,Fremont,94536,3.0,2.0,1168.0,Single Family Residence,1956,895000.0
35536 Morley Pl,Fremont,94536,3.0,2.0,1579.0,Single Family Residence,1971,1020000.0
2579 Bishop,Fremont,94536,3.0,2.0,1487.0,Single Family Residence,1986,1015000.0
2649 Mallard Ct,Union City,94587,3.0,2.0,1392.0,Single Family Residence,1975,690000.0
401 Craycroft Dr,Fremont,94539,3.0,2.0,1300.0,Single Family Residence,1964,1160000.0
3646 Independence Rd,Fremont,94538,3.0,2.0,1112.0,Single Family Residence,1954,893000.0
41381 Danzon Ct,Fremont,94539,5.0,4.5,3310.0,Single Family Residence,2003,2340000.0
4684 Creekwood Dr,Fremont,94555,3.0,2.5,1522.0,Single Family Residence,1987,1140000.0
35239 Erving Ct,Fremont,94536,4.0,2.0,1714.0,Single Family Residence,1972,1211000.0
4235 Fairwood St,Fremont,94538,3.0,2.0,1198.0,Single Family Residence,1959,1065000.0
38872 Glenview Dr,Fremont,94536,3.0,2.0,1344.0,Single Family Residence,1960,1015000.0
5685 Roosevelt Pl,Fremont,94538,3.0,2.0,1344.0,Single Family Residence,1966,842000.0
33672 Pack Horse St,Fremont,94555,5.0,3.0,3103.0,Single Family Residence,2017,1950000.0
5137 Dupont Ave,Newark,94560,3.0,2.0,1190.0,Single Family Residence,1954,747000.0
4670 Sloan St,Fremont,94538,3.0,2.0,1131.0,Single Family Residence,1963,860000.0
5401 Shattuck Ave,Fremont,94555,4.0,2.5,1570.0,Single Family Residence,1989,1335000.0
34148 Auden Ct,Fremont,94555,4.0,2.0,1364.0,Single Family Residence,1970,950000.0
34107 Hummingbird Ter,Fremont,94555,4.0,2.5,1898.0,Single Family Residence,1998,1195000.0
42086 Vinha Way,Fremont,94539,4.0,4.5,3174.0,Single Family Residence,2019,2248000.0
295 Concho Dr,Fremont,94539,4.0,2.5,2140.0,Single Family Residence,1978,1580000.0
4707 Nicolet Ave,Fremont,94536,3.0,2.0,1168.0,Single Family Residence,1955,900000.0
43223 Calle Dolorosa,Fremont,94539,6.0,5.5,5953.0,Single Family Residence,1928,4368000.0
38800 Argonaut Way,Fremont,94536,4.0,2.0,1698.0,Single Family Residence,1961,989910.0
35554 Dee Pl,Fremont,94536,4.0,2.0,1714.0,Single Family Residence,1970,1185000.0
39876 Parada St,Newark,94560,3.0,2.5,1627.0,Single Family Residence,1994,900000.0
39016 Blacow Rd,Fremont,94538,3.0,2.0,1269.0,Single Family Residence,1961,890000.0
39459 Blacow Rd,Fremont,94538,3.0,2.0,1723.0,Single Family Residence,1963,940000.0
39748 Costa Way,Fremont,94538,3.0,2.0,1269.0,Single Family Residence,1963,920000.0
37762 Mosswood Dr,Fremont,94536,3.0,2.0,1166.0,Single Family Residence,1953,800000.0
4622 Sloat Rd,Fremont,94538,4.0,2.0,1800.0,Single Family Residence,1961,920000.0
45120 Parkmeadow Dr,Fremont,94539,4.0,2.5,1948.0,Single Family Residence,1978,1551000.0
4385 Nicolet Ave,Fremont,94536,4.0,2.0,1840.0,Single Family Residence,1965,1213600.0
4306 Calypso Ter,Fremont,94555,4.0,2.5,1826.0,Single Family Residence,1991,1125000.0
4461 Porter St,Fremont,94538,3.0,1.0,925.0,Single Family Residence,1955,750000.0
2528 Rutherford Ct,Fremont,94539,5.0,6.0,5550.0,Single Family Residence,1992,2900000.0
48238 Cottonwood St,Fremont,94539,4.0,3.5,2074.0,Single Family Residence,1964,1498000.0
34484 RAINDEER Ct,Fremont,94555,3.0,2.0,1790.0,Single Family Residence,1972,1170000.0
4547 Piper St,Fremont,94538,4.0,2.0,1753.0,Single Family Residence,1959,1115000.0
42806 Ravensbourne Park St,Fremont,94538,4.0,2.0,1736.0,Single Family Residence,1962,1210000.0
36340 Pizarro Dr,Fremont,94536,3.0,2.0,1154.0,Single Family Residence,1956,840000.0
4236 BLEWETT St,Fremont,94538,3.0,1.0,1036.0,Single Family Residence,1959,795000.0
34679 Teal Cmn,Fremont,94555,3.0,2.5,1527.0,Single Family Residence,1987,1197550.0
38277 Kimbro St,Fremont,94536,4.0,2.0,2040.0,Single Family Residence,1957,1392000.0
3104 Lubbock Pl,Fremont,94536,4.0,2.0,1714.0,Single Family Residence,1972,1240000.0
42426 Paseo Padre Pkwy,Fremont,94539,3.0,2.0,1546.0,Single Family Residence,1977,1260000.0
40050 Barbara St,Fremont,94538,3.0,1.5,1050.0,Single Family Residence,1958,840000.0
34222 Della Ter,Fremont,94555,3.0,2.5,1481.0,Single Family Residence,1988,1108000.0
4146 Hawkins St,Fremont,94538,3.0,2.0,1207.0,Single Family Residence,1955,780000.0
3113 Estero Ter,Fremont,94538,3.0,2.5,1644.0,Single Family Residence,2013,910000.0
4475 Amador Rd,Fremont,94538,5.0,2.5,2155.0,Single Family Residence,1961,960000.0
47528 Curtain Falls Cmn,Fremont,94539,3.0,3.5,2172.0,Single Family Residence,2019,1268723.0
35281 Santiago St,Fremont,94536,3.0,2.0,1256.0,Single Family Residence,1965,860325.0
43151 Calle Familia,Fremont,94539,4.0,3.5,2223.0,Single Family Residence,2016,1675000.0
38442 Canyon Heights Dr,Fremont,94536,3.0,1.5,1038.0,Single Family Residence,1957,700000.0
5258 Rancho Del Norte Dr,Fremont,94555,4.0,2.5,2035.0,Single Family Residence,2018,1460000.0
38759 Stillwater Cmn,Fremont,94536,3.0,3.0,1423.0,Single Family Residence,1988,1035000.0
15 Blaisdell Way,Fremont,94536,4.0,2.5,1706.0,Single Family Residence,1984,1080000.0
4525 San Juan Ave,Fremont,94536,3.0,2.0,1523.0,Single Family Residence,1954,999000.0
35876 Killorglin Cmn,Fremont,94536,3.0,2.5,1460.0,Single Family Residence,1989,991295.0
356 Sandstone Dr,Fremont,94536,4.0,2.5,1789.0,Single Family Residence,1989,1236227.0
37630 Carriage Circle Cmn,Fremont,94536,3.0,2.5,1412.0,Single Family Residence,1985,865000.0
722 Covina Way,Fremont,94539,3.0,3.0,1646.0,Single Family Residence,1969,1438000.0
1720 Ponca Ct,Fremont,94539,4.0,2.5,2781.0,Single Family Residence,1978,1760000.0
3143 Cadman Rd,Fremont,94538,4.0,3.0,1688.0,Single Family Residence,1959,1105000.0
3239 Bruce Dr,Fremont,94539,5.0,5.5,4200.0,Single Family Residence,2019,2700000.0
2929 Washington Blvd,Fremont,94539,3.0,2.0,1156.0,Single Family Residence,1953,1259000.0
4971 Hyde Park Dr,Fremont,94538,4.0,3.0,2189.0,Single Family Residence,1961,1290000.0
42629 Saratoga Park St,Fremont,94538,4.0,2.5,1767.0,Single Family Residence,1962,1185000.0
4788 Valpey Park Ct,Fremont,94538,4.0,2.0,1683.0,Single Family Residence,1963,1350000.0
4692 Wildwood Park Ct,Fremont,94538,3.0,2.0,1455.0,Single Family Residence,1964,1106568.0
39138 Sonora Ct,Fremont,94538,3.0,2.0,1320.0,Single Family Residence,1959,896000.0
34287 Mimosa Ter,Fremont,94555,3.0,2.5,1615.0,Single Family Residence,1992,1250000.0
1078 Canyon Creek Ter,Fremont,94536,5.0,3.0,3340.0,Single Family Residence,1991,1500000.0
48046 Chann Ct,Fremont,94539,4.0,3.0,1821.0,Single Family Residence,1964,1475000.0
336 Goldenrain Ave,Fremont,94539,3.0,2.5,1544.0,Single Family Residence,1962,1190000.0
4678 De Silva St,Fremont,94538,3.0,2.0,1544.0,Single Family Residence,1960,1128000.0
43113 Calle Sagrada,Fremont,94539,4.0,3.5,2277.0,Single Family Residence,2019,1599000.0
38347 Granville Dr,Fremont,94536,3.0,2.0,1320.0,Single Family Residence,1960,950000.0
46975 Zapotec Dr,Fremont,94539,4.0,2.5,2822.0,Single Family Residence,1977,1700000.0
4041 HEMINGWAY Cmn,Fremont,94536,3.0,2.5,1669.0,Single Family Residence,1999,1010000.0
311 Tangelo Ct,Fremont,94539,4.0,4.5,3625.0,Single Family Residence,2018,2235000.0
4643 Westwood Ave,Fremont,94536,3.0,3.0,1606.0,Single Family Residence,1953,1150000.0
4823 Phelan Ave,Fremont,94538,3.0,2.0,1092.0,Single Family Residence,1959,785000.0
34865 Gladstone Pl,Fremont,94555,4.0,3.0,2172.0,Single Family Residence,1971,1365000.0
38443 Timpanogas Cir,Fremont,94536,3.0,2.0,1320.0,Single Family Residence,1955,871888.0
720 Ridgeview Ter,Fremont,94536,3.0,2.5,1638.0,Single Family Residence,1988,1150000.0
101 Lippert Ave,Fremont,94539,3.0,2.0,1234.0,Single Family Residence,1961,956000.0
4643 Cerritos Ave,Fremont,94536,4.0,3.0,1900.0,Single Family Residence,1954,940000.0
2359 Corriea Way,Fremont,94539,2.0,2.0,1298.0,Single Family Residence,1972,1080000.0
4432 Cordova Pl,Fremont,94536,4.0,3.0,2160.0,Single Family Residence,1965,1325000.0
42277 Palm Ave,Fremont,94539,4.0,3.0,2140.0,Single Family Residence,1952,1710000.0
43144 Calle Sagrada,Fremont,94539,4.0,3.5,2277.0,Single Family Residence,2019,1614266.0
43132 Calle Sagrada,Fremont,94539,4.0,3.5,2238.0,Single Family Residence,2019,1704679.0
5683 Merit Way,Fremont,94538,3.0,2.0,1097.0,Single Family Residence,1962,845000.0
575 Majestic Palm Ave,Fremont,94539,4.0,4.5,4021.0,Single Family Residence,2019,2100000.0
42106 Vinha Way,Fremont,94539,4.0,4.5,3585.0,Single Family Residence,2019,2300000.0
4847 Humber Pl,Newark,94560,4.0,2.0,1697.0,Single Family Residence,1969,986000.0
3453 Atwater Ct,Fremont,94536,3.0,2.0,1040.0,Single Family Residence,1972,957000.0
616 Starlite Way,Fremont,94539,4.0,3.0,2504.0,Single Family Residence,1963,1820000.0
45245 Lynx Dr,Fremont,94539,3.0,2.5,1484.0,Single Family Residence,1988,1080000.0
42524 Gage Ct,Fremont,94538,3.0,2.0,1151.0,Single Family Residence,1958,821000.0
5391 Butano Park Dr,Fremont,94538,4.0,2.0,1324.0,Single Family Residence,1962,925000.0
5295 Matthew Ter,Fremont,94555,3.0,2.5,1324.0,Single Family Residence,1988,1044220.0
4836 Serra Ave,Fremont,94538,3.0,2.0,996.0,Single Family Residence,1959,715000.0
34550 Shenandoah Pl,Fremont,94555,4.0,2.0,1998.0,Single Family Residence,1972,1176000.0
41531 Erma Ave,Fremont,94539,3.0,2.0,1148.0,Single Family Residence,1955,1150000.0
4954 Stafford Pl,Newark,94560,4.0,2.0,2144.0,Single Family Residence,1968,1150000.0
37797 Rosetree Ct,Fremont,94536,4.0,3.0,2857.0,Single Family Residence,2001,1740000.0
47657 Fortner St,Fremont,94539,4.0,3.0,2041.0,Single Family Residence,1961,1600000.0
3740 Detjen,Fremont,94538,3.0,1.0,950.0,Single Family Residence,1957,705000.0
37815 2nd St,Fremont,94536,3.0,2.0,1845.0,Single Family Residence,1925,912000.0
36839 Cabrillo Dr,Fremont,94536,3.0,1.0,1074.0,Single Family Residence,1953,799990.0
318 King Ave,Fremont,94536,3.0,2.5,1370.0,Single Family Residence,1989,980000.0
101 Stevie Ct,Fremont,94539,5.0,3.0,2610.0,Single Family Residence,2000,1850000.0
234 Gable Dr,Fremont,94539,3.0,2.0,1284.0,Single Family Residence,1962,1184888.0
43019 Everglades Park Dr,Fremont,94538,3.0,3.0,1919.0,Single Family Residence,1962,1040000.0
2992 Pescadero Ter,Fremont,94538,4.0,3.5,2093.0,Single Family Residence,2013,970000.0
5453 Curtis St,Fremont,94538,3.0,2.0,1078.0,Single Family Residence,1961,865000.0
2888 Sanderling Dr,Fremont,94555,4.0,3.0,3043.0,Single Family Residence,1991,1601000.0
4374 Ribera St,Fremont,94536,3.0,2.0,1256.0,Single Family Residence,1967,930000.0
34340 Siward Dr,Fremont,94555,3.0,2.5,1446.0,Single Family Residence,1986,1135101.0
34237 AUCKLAND,Fremont,94555,3.0,2.0,1290.0,Single Family Residence,1968,1085000.0
2178 Sparrow Dr,Fremont,94539,4.0,3.0,3198.0,Single Family Residence,1979,1880000.0
35022 Cabrillo Ct,Fremont,94536,4.0,3.0,2176.0,Single Family Residence,1965,1350000.0
44213 Bowers Ct,Fremont,94539,4.0,4.0,3736.0,Single Family Residence,1970,1868121.0
35966 Magellan Dr,Fremont,94536,3.0,2.0,1159.0,Single Family Residence,1956,800000.0
1954 Rosemary Ct,Fremont,94539,7.0,3.0,2361.0,Single Family Residence,1962,1600000.0
37548 Sequoia Rd,Fremont,94536,3.0,2.0,1600.0,Single Family Residence,2018,1220000.0
36346 Pizarro Dr,Fremont,94536,3.0,2.0,1168.0,Single Family Residence,1956,853000.0
5350 Sayre Ave,Fremont,94536,3.0,2.0,1375.0,Single Family Residence,1960,1100000.0
35636 Galen Pl,Fremont,94536,3.0,2.0,2215.0,Single Family Residence,1967,1150000.0
3390 Isherwood Way,Fremont,94536,3.0,2.0,1910.0,Single Family Residence,1971,1275000.0
38446 Nebo Dr,Fremont,94536,3.0,2.0,1120.0,Single Family Residence,1955,796000.0
35907 Killorglin Cmn,Fremont,94536,3.0,2.5,1460.0,Single Family Residence,1989,955000.0
153 Brunswick Pl,Fremont,94539,4.0,3.0,2870.0,Single Family Residence,1989,1950000.0
721 Mcduff Ave,Fremont,94539,3.0,2.5,1386.0,Single Family Residence,1971,1280000.0
40446 Davis St,Fremont,94538,3.0,2.0,1201.0,Single Family Residence,1955,815000.0
5446 Clarendon Park Ct,Fremont,94538,4.0,2.0,1736.0,Single Family Residence,1962,981000.0
5653 Roosevelt Pl,Fremont,94538,3.0,2.0,1232.0,Single Family Residence,1966,866000.0
34759 Osage River Pl,Fremont,94555,4.0,2.0,1816.0,Single Family Residence,1974,1211000.0
462 Medanos Ct,Fremont,94539,2.0,2.0,1207.0,Single Family Residence,1988,935000.0
4933 Roselle Cmn,Fremont,94536,4.0,3.0,2054.0,Single Family Residence,1997,1210000.0
3860 Haven,Fremont,94538,2.0,1.0,945.0,Single Family Residence,1951,921000.0
40478 Gibson St,Fremont,94538,3.0,1.0,925.0,Single Family Residence,1954,721000.0
37350 Portico Ter,Fremont,94536,3.0,2.5,1631.0,Single Family Residence,1997,949000.0
38182 Hamlin St,Fremont,94536,5.0,2.5,2153.0,Single Family Residence,1959,1115000.0
5365 Silver Reef Dr,Fremont,94538,4.0,2.0,1228.0,Single Family Residence,1961,994000.0
1117 Silver St,Union City,94587,5.0,3.0,2592.0,Single Family Residence,2006,1260000.0
38112 Canyon Oaks Ct,Fremont,94536,5.0,3.0,2768.0,Single Family Residence,1991,1330000.0
36409 Frobisher Dr,Fremont,94536,3.0,2.0,1168.0,Single Family Residence,1956,860000.0
37026 Reynolds Cmn,Fremont,94536,2.0,2.5,1755.0,Single Family Residence,1988,1180000.0
363 Morengo Way,Fremont,94539,3.0,2.0,1234.0,Single Family Residence,1961,1166450.0
185 Quinault Way,Fremont,94539,4.0,2.5,2381.0,Single Family Residence,1977,1565000.0
3744 James Ave,Fremont,94538,3.0,1.0,1086.0,Single Family Residence,1951,720000.0
40184 Blanchard St,Fremont,94538,4.0,3.0,1734.0,Single Family Residence,1958,950000.0
39060 Sonora Ct,Fremont,94538,3.0,2.0,1056.0,Single Family Residence,1959,915000.0
34269 Tupelo St,Fremont,94555,4.0,3.0,1929.0,Single Family Residence,1991,1340000.0
34129 Sorrell Terrrace,Fremont,94555,3.0,2.5,1760.0,Single Family Residence,1998,1165000.0
42721 Scofield Dr,Fremont,94539,4.0,3.0,2372.0,Single Family Residence,1988,1765000.0
1145 Clay Ct,Fremont,94536,4.0,2.5,1785.0,Single Family Residence,1977,1200000.0
4684 Mayfield Dr,Fremont,94536,3.0,2.5,2342.0,Single Family Residence,1954,1458888.0
100 Cedar Ter,Fremont,94539,4.0,3.0,2194.0,Single Family Residence,2001,1679000.0
284 Rosewood Ave, Hayward,94544,2.0,2.5,1340.0,Townhouse,1973,520000.0
25042 Plum Tree St, Hayward,94544,3.0,2.5,1440.0,Single Family Residence,1995,810000.0
1228 Thornwall Lane, Hayward,94545,3.0,2.0,1285.0,Single Family Residence,1956,770000.0
24928 Campus Drive, Hayward,94542,2.0,2.0,2293.0,Single Family Residence,1922,690000.0
2503 Arf Avenue, Hayward,94545,4.0,2.5,1474.0,Townhouse,1970,563000.0
24760 Magnolia St., Hayward,94545,3.0,2.0,1499.0,Single Family Residence,1959,670000.0
310 Williams Way, Hayward,94541,3.0,2.5,1827.0,Condominium,2011,715000.0
1807 Trym St, Hayward,94541,5.0,2.5,2427.0,Single Family Residence,2008,915000.0
687 Veranda Circle, Hayward,94541,3.0,3.0,1381.0,Townhouse,2003,595000.0
315 Berry Ave., Hayward,94544,4.0,2.0,1466.0,Single Family Residence,1954,690000.0
105 Cassia, Hayward,94544,4.0,2.5,1724.0,Townhouse,1977,610000.0
296 Rosewood Ct, Hayward,94544,3.0,2.5,1549.0,Townhouse,1973,580000.0
Mcbride, Hayward,94544,3.0,2.0,1231.0,Single Family Residence,1954,539000.0
1379 Mcbride Lane, Hayward,94544,3.0,2.0,1164.0,Single Family Residence,1954,680000.0
25079 Thomas Ave, Hayward,94544,3.0,1.0,960.0,Single Family Residence,1952,593000.0
